date,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,EU28,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2017 ,85.20 ,85.35 ,60.47 ,72.15 ,82.74 ,89.17 ,94.22 ,87.60 ,68.39 ,73.99 ,79.11 ,93.03 ,81.71 ,63.04 ,74.59 ,75.59 ,57.95 ,75.93 ,95.85 ,80.11 ,77.21 ,93.53 ,75.02 ,66.77 ,61.32 ,93.31 ,76.66 ,80.96 ,91.88 
2015 ,83.79 ,84.50 ,56.67 ,70.28 ,79.99 ,87.95 ,95.87 ,88.27 ,66.64 ,73.80 ,77.94 ,92.86 ,82.17 ,68.12 ,72.31 ,77.29 ,61.29 ,71.01 ,97.04 ,78.15 ,75.66 ,92.27 ,68.30 ,69.20 ,57.07 ,90.50 ,73.09 ,77.43 ,90.23 
2014 ,80.98 ,85.25 ,55.86 ,69.97 ,78.91 ,87.07 ,96.08 ,84.23 ,63.28 ,73.32 ,77.34 ,92.43 ,81.68 ,67.57 ,76.00 ,78.44 ,59.07 ,72.20 ,93.52 ,75.86 ,73.84 ,92.76 ,67.19 ,65.77 ,55.27 ,93.34 ,72.64 ,79.96 ,91.21 
2013 ,81.99 ,83.16 ,53.44 ,66.60 ,73.86 ,85.46 ,95.12 ,80.03 ,60.43 ,72.09 ,75.67 ,92.33 ,80.71 ,67.38 ,72.98 ,78.14 ,58.20 ,68.87 ,93.90 ,75.16 ,70.59 ,94.24 ,63.90 ,64.00 ,50.46 ,95.03 ,73.22 ,79.17 ,89.73 
2012 ,82.00 ,81.79 ,52.87 ,62.72 ,74.00 ,83.87 ,92.76 ,78.36 ,55.47 ,72.00 ,74.30 ,90.89 ,79.68 ,63.06 ,71.51 ,77.12 ,55.97 ,66.53 ,92.61 ,73.38 ,69.30 ,93.43 ,63.79 ,62.37 ,47.96 ,93.17 ,70.31 ,77.63 ,88.46 
2011 ,80.78 ,81.55 ,49.13 ,59.49 ,72.17 ,83.55 ,90.21 ,76.25 ,54.26 ,68.71 ,72.75 ,89.39 ,77.87 ,59.25 ,68.68 ,76.01 ,55.05 ,62.99 ,90.74 ,70.02 ,68.87 ,92.46 ,64.02 ,58.19 ,42.55 ,93.24 ,69.87 ,76.31 ,86.81 
2010 ,76.91 ,78.59 ,45.44 ,56.63 ,68.75 ,82.96 ,88.60 ,74.31 ,48.41 ,66.76 ,70.88 ,87.64 ,75.94 ,56.32 ,63.26 ,69.87 ,53.19 ,62.14 ,90.04 ,67.29 ,63.91 ,91.08 ,61.88 ,55.42 ,41.21 ,91.88 ,69.81 ,78.42 ,85.69 
2009 ,75.41 ,75.56 ,44.10 ,53.37 ,63.88 ,80.66 ,87.04 ,71.03 ,47.32 ,62.35 ,68.34 ,84.23 ,73.94 ,49.69 ,61.90 ,67.56 ,48.98 ,59.92 ,87.78 ,65.13 ,59.61 ,89.91 ,59.39 ,51.36 ,42.20 ,90.87 ,65.16 ,74.40 ,84.17 
2008 ,76.22 ,71.48 ,39.53 ,47.22 ,63.41 ,79.99 ,85.62 ,65.79 ,44.36 ,60.24 ,65.44 ,84.45 ,71.18 ,45.92 ,62.49 ,67.03 ,45.61 ,55.66 ,82.65 ,62.62 ,51.14 ,88.44 ,54.84 ,45.89 ,35.28 ,89.47 ,60.48 ,71.79 ,79.60 
2007 ,73.00 ,69.96 ,34.53 ,46.99 ,54.97 ,78.10 ,83.78 ,64.86 ,40.20 ,56.53 ,62.59 ,80.78 ,67.31 ,46.87 ,58.00 ,62.78 ,42.52 ,51.81 ,80.41 ,57.88 ,48.27 ,86.62 ,51.56 ,45.80 ,33.71 ,87.55 ,58.06 ,63.85 ,78.02 
Increase,12.20,15.39,25.94,25.16,27.77,11.07,10.44,22.74,28.19,17.46,16.52,12.25,14.40,16.17,16.59,12.81,15.43,24.12,15.44,22.23,28.94,6.91,23.46,20.97,27.61,5.76,18.60,17.11,13.86
